experiment_id,script_name,timestamp,git_commit,hostname,device_type,device_name,dataset,dataset_variant,split_name,N,D,K_true,informative_ratio,noise_ratio,noise_sigma,data_seed,run_seed,method,prior_mode,baseline_name,beta,beta_mult,Tsplit,tau_mode,tau,tau_mult,lr,temp_start,temp_end,max_epochs,epochs_completed,final_K,split_count,first_split_epoch,last_split_epoch,split_epochs_json,ari,nmi,f1_feature,acc,selected_dims_count,selected_dims_ratio,mean_phi,median_phi,objective_final,objective_best,objective_gap,nll_final,kl_final,wallclock_total_sec,wallclock_stepA_sec,wallclock_train_sec,wallclock_split_diag_sec,wallclock_post_sec,time_per_epoch_sec,peak_memory_mb,status,timeout_flag,error_message,artifact_dir,split_epochs,prior_mode_name,predictions
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2002__DIVI_p1,run_divi_misspec_robustness_tuned.py,2026-04-02T15:20:01Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21002,2002,DIVI,1,DIVI,200.0,1.0,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,300,3,2,120,240,"[120, 240]",0.9697766425713032,0.9526186802811253,0.7692307692307693,0.99,16,0.16,0.3272441029548645,0.25003618001937866,36957.03515625,35292.99609375,1664.0390625,36106.1015625,4.254672050476074,0.47711189500023465,0.08368045599991092,0.39210210900000675,0.0009467099998801132,0.0009086700001716963,0.0013070070300000224,449.04296875,ok,0,,outputs/misspec_robustness_tuned,"[120, 240]",informative_kw_llr,"[2 1 1 2 0 0 2 0 1 1 1 0 0 0 0 1 2 0 0 2 0 0 1 2 1 0 1 0 0 0 0 0 1 0 2 1 2
 1 2 2 2 1 1 0 1 0 1 0 2 0 0 0 1 2 1 2 2 2 2 0 1 0 2 0 0 1 0 2 0 1 2 0 2 1
 1 1 2 2 0 1 2 2 0 0 1 1 0 0 0 2 2 1 0 0 1 2 2 2 2 2 0 1 1 2 2 0 2 0 1 1 1
 0 1 2 1 2 2 0 1 1 2 2 0 1 2 0 1 2 1 0 1 1 0 0 2 2 1 0 2 0 2 1 0 0 1 1 1 0
 2 2 0 2 0 1 1 2 1 1 2 1 0 1 2 0 0 0 2 2 1 1 1 2 2 2 1 2 2 1 0 1 1 0 0 2 1
 2 1 2 2 1 1 0 0 1 1 2 1 0 2 1]"
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2002__DIVI_p2,run_divi_misspec_robustness_tuned.py,2026-04-02T15:20:01Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21002,2002,DIVI,2,DIVI,200.0,1.0,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,300,3,2,120,240,"[120, 240]",0.9850007840499246,0.9763449138590041,0.18181818181818182,0.995,100,1.0,0.6726840138435364,0.6697549223899841,33058.53515625,29645.6171875,3412.91796875,31819.81640625,6.193589687347412,0.3955466789998354,1.900000006571645e-05,0.39431640899965714,0.0009469100000387698,0.000894009999683476,0.0013143880299988572,449.4296875,ok,0,,outputs/misspec_robustness_tuned,"[120, 240]",noninformative_uniform,"[2 1 1 2 0 0 2 0 1 1 1 0 0 0 0 1 2 0 0 2 0 0 1 2 1 0 1 0 0 0 0 0 1 0 2 1 2
 1 2 2 2 1 1 0 0 0 1 0 2 0 0 0 1 2 1 2 2 2 2 0 1 0 2 0 0 1 0 2 0 1 2 0 2 1
 1 1 2 2 0 1 2 2 0 0 1 1 0 0 0 2 2 1 0 0 1 2 2 2 2 2 0 1 1 2 2 0 2 0 1 1 1
 0 1 2 1 2 2 0 1 1 2 2 0 1 2 0 1 2 1 0 1 1 0 0 2 2 1 0 2 0 2 1 0 0 1 1 1 0
 2 2 0 2 0 1 1 2 1 1 2 1 0 1 2 0 0 0 2 2 1 1 1 2 2 2 1 2 2 1 0 1 1 0 0 2 1
 2 1 2 2 1 1 0 0 1 1 2 1 0 2 1]"
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2002__DIVI_p3,run_divi_misspec_robustness_tuned.py,2026-04-02T15:20:01Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21002,2002,DIVI,3,DIVI,200.0,1.0,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,300,3,2,120,240,"[120, 240]",0.5323189075827319,0.6101510891581169,0.15189873417721517,0.795,69,0.69,0.5825164914131165,0.6633136868476868,34135.77734375,31553.080078125,2582.697265625,33308.83984375,4.1346893310546875,0.3785324400000718,1.900000006571645e-05,0.37721719999990455,0.0009833300000536838,0.0009841900000537862,0.0012573906666663486,449.4296875,ok,0,,outputs/misspec_robustness_tuned,"[120, 240]",random_prior,"[0 2 2 0 1 1 0 2 0 0 2 1 1 1 2 2 0 2 1 0 1 1 2 0 0 1 2 2 1 1 1 1 2 1 0 0 0
 2 0 0 0 0 0 2 1 1 0 2 0 1 2 2 0 0 2 0 0 0 0 1 2 1 0 2 2 2 1 0 2 2 0 1 0 2
 0 2 0 0 1 2 0 0 1 1 2 0 1 1 1 0 0 2 1 1 2 0 0 0 0 0 2 0 2 0 0 1 0 1 2 0 0
 1 2 0 2 0 0 1 2 2 0 0 2 0 0 1 0 0 2 1 2 2 1 1 0 0 2 1 0 1 0 2 1 1 0 0 0 2
 0 0 2 0 1 0 2 0 2 2 0 2 1 0 0 1 1 1 0 0 2 0 0 0 0 0 2 0 0 0 1 2 2 1 2 0 2
 0 0 0 0 0 2 1 1 2 0 0 2 1 0 2]"
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2002__kmeans_oracle,run_divi_misspec_robustness_tuned.py,2026-04-02T15:20:01Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21002,2002,kmeans_oracle,nan,KMeans,nan,nan,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,nan,3,0,nan,nan,[],0.9406849187428838,0.9180668242369091,nan,0.98,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,449.43359375,ok,0,,outputs/misspec_robustness_tuned
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2002__gmm_oracle,run_divi_misspec_robustness_tuned.py,2026-04-02T15:20:01Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21002,2002,gmm_oracle,nan,GaussianMixtureDiag,nan,nan,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,nan,3,0,nan,nan,[],0.9700015680998493,0.9526893130045085,nan,0.99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,449.43359375,ok,0,,outputs/misspec_robustness_tuned
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2003__DIVI_p1,run_divi_misspec_robustness_tuned.py,2026-04-02T15:20:02Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21003,2003,DIVI,1,DIVI,200.0,1.0,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,300,3,2,120,240,"[120, 240]",1.0,1.0,0.8333333333333333,1.0,14,0.14,0.3340395987033844,0.2765471339225769,36896.67578125,34564.32421875,2332.3515625,36022.4921875,4.370926856994629,0.5038224039999477,0.08700435500031745,0.4154608990002089,0.0009376100001645682,0.0009091000001717475,0.0013848696633340296,449.4453125,ok,0,,outputs/misspec_robustness_tuned,"[120, 240]",informative_kw_llr,"[0 0 0 0 0 1 0 1 0 0 2 0 2 2 2 0 2 1 1 0 0 2 2 1 2 0 1 2 1 1 0 1 2 0 0 0 1
 1 2 0 2 1 2 2 2 1 2 1 0 2 1 0 0 0 0 0 0 2 0 0 0 0 2 0 2 2 1 0 2 0 0 0 0 1
 2 0 0 1 0 0 2 0 0 2 2 1 0 2 0 1 2 1 1 1 1 2 0 2 1 1 1 2 1 2 0 2 2 1 1 0 1
 1 0 1 2 0 0 0 2 1 1 2 2 2 2 2 1 0 1 2 2 1 1 2 1 1 1 2 0 2 2 1 0 1 1 2 2 1
 2 0 1 2 2 2 2 1 2 1 2 2 0 0 0 1 2 2 1 1 1 1 1 1 0 1 0 1 0 2 0 2 0 1 1 0 1
 2 2 1 1 2 2 2 0 1 0 2 1 0 0 1]"
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2003__DIVI_p2,run_divi_misspec_robustness_tuned.py,2026-04-02T15:20:02Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21003,2003,DIVI,2,DIVI,200.0,1.0,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,300,3,2,120,240,"[120, 240]",1.0,1.0,0.18181818181818182,1.0,100,1.0,0.6702635288238525,0.6701737642288208,33099.77734375,29352.54296875,3747.234375,31900.546875,5.996156692504883,0.383096420000129,2.3359999886451988e-05,0.38179977999971015,0.0009325799996986461,0.0008907000001272536,0.0012726659333323672,448.68359375,ok,0,,outputs/misspec_robustness_tuned,"[120, 240]",noninformative_uniform,"[0 0 0 0 0 1 0 1 0 0 2 0 2 2 2 0 2 1 1 0 0 2 2 1 2 0 1 2 1 1 0 1 2 0 0 0 1
 1 2 0 2 1 2 2 2 1 2 1 0 2 1 0 0 0 0 0 0 2 0 0 0 0 2 0 2 2 1 0 2 0 0 0 0 1
 2 0 0 1 0 0 2 0 0 2 2 1 0 2 0 1 2 1 1 1 1 2 0 2 1 1 1 2 1 2 0 2 2 1 1 0 1
 1 0 1 2 0 0 0 2 1 1 2 2 2 2 2 1 0 1 2 2 1 1 2 1 1 1 2 0 2 2 1 0 1 1 2 2 1
 2 0 1 2 2 2 2 1 2 1 2 2 0 0 0 1 2 2 1 1 1 1 1 1 0 1 0 1 0 2 0 2 0 1 1 0 1
 2 2 1 1 2 2 2 0 1 0 2 1 0 0 1]"
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2003__DIVI_p3,run_divi_misspec_robustness_tuned.py,2026-04-02T15:20:02Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21003,2003,DIVI,3,DIVI,200.0,1.0,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,300,3,2,120,240,"[120, 240]",0.7429679812191635,0.7060341348933845,0.14634146341463414,0.905,72,0.72,0.6101901531219482,0.6977502107620239,33732.859375,30762.236328125,2970.623046875,32996.9609375,3.6795003414154053,0.38369916900001044,2.119999999194988e-05,0.38244475900000907,0.0011035800002900942,0.0009115899997595989,0.0012748158633333637,448.6875,ok,0,,outputs/misspec_robustness_tuned,"[120, 240]",random_prior,"[0 0 0 0 0 1 0 1 0 0 2 0 1 2 2 0 2 1 1 0 0 2 2 1 2 0 1 1 1 1 0 1 2 0 0 0 1
 2 1 0 2 1 1 2 2 1 2 1 0 1 1 0 0 0 0 0 2 2 0 0 0 0 0 0 2 2 2 0 2 0 0 0 0 1
 2 0 0 1 0 0 2 0 0 2 2 2 0 2 0 1 2 1 1 1 2 2 0 2 1 1 1 2 1 2 0 2 2 1 1 0 1
 1 0 1 2 2 0 0 1 2 1 2 2 2 2 2 1 0 1 2 2 1 1 2 1 1 1 1 0 2 2 1 0 1 1 2 2 1
 2 0 1 2 2 2 0 1 2 1 2 2 0 0 0 1 2 2 1 1 1 1 1 1 0 1 0 1 0 2 0 2 0 1 2 0 1
 2 2 2 1 2 2 2 0 1 0 2 1 0 0 2]"
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2003__kmeans_oracle,run_divi_misspec_robustness_tuned.py,2026-04-02T15:20:02Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21003,2003,kmeans_oracle,nan,KMeans,nan,nan,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,nan,3,0,nan,nan,[],0.8705713254177481,0.851352756228705,nan,0.955,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,448.6875,ok,0,,outputs/misspec_robustness_tuned
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2003__gmm_oracle,run_divi_misspec_robustness_tuned.py,2026-04-02T15:20:02Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21003,2003,gmm_oracle,nan,GaussianMixtureDiag,nan,nan,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,nan,3,0,nan,nan,[],0.9850007840499246,0.9763449138590039,nan,0.995,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,448.6875,ok,0,,outputs/misspec_robustness_tuned
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2004__DIVI_p1,run_divi_misspec_robustness_tuned.py,2026-04-02T15:20:04Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21004,2004,DIVI,1,DIVI,200.0,1.0,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,300,3,2,120,240,"[120, 240]",0.9556841346929592,0.9354825793985271,0.7407407407407407,0.985,17,0.17,0.35339105129241943,0.28498756885528564,36757.05078125,34925.91796875,1831.1328125,35784.546875,4.862527847290039,0.47141410499989433,0.09879808400000911,0.37124937099997624,0.0009506999999757682,0.000917560000289086,0.001237497903333254,448.7734375,ok,0,,outputs/misspec_robustness_tuned,"[120, 240]",informative_kw_llr,"[2 2 1 1 1 1 1 1 0 2 1 1 2 0 2 1 0 1 0 1 2 2 0 0 0 2 1 0 2 1 2 0 0 0 0 1 2
 0 2 1 0 1 2 2 2 2 2 0 0 1 2 2 0 0 2 2 0 0 1 2 2 1 1 2 1 0 1 2 1 1 0 1 0 0
 1 2 2 2 1 0 1 2 2 1 0 0 2 1 1 0 1 2 0 0 2 2 0 0 0 2 2 1 2 1 0 1 2 1 2 0 2
 0 2 0 2 1 0 0 0 1 0 1 2 0 2 2 2 0 1 0 1 2 2 2 2 1 1 0 1 1 2 0 0 2 0 0 2 1
 1 2 0 1 0 1 1 2 2 2 2 1 2 1 2 2 1 1 0 0 2 0 2 1 1 2 2 0 1 0 1 0 0 1 2 1 2
 1 0 0 0 1 0 1 0 0 1 0 0 1 0 2]"
